Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Chile,CHL,82.293,82.333,82.381,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,China,CHN,78.574,78.828,79.051,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Colombia,COL,79.523,79.694,79.859,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Comoros,COM,65.444,65.675,65.9,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Dem. Rep.",COD,61.147,61.539,61.901,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Congo, Rep.",COG,64.86,65.316,65.703,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Costa Rica,CRI,82.374,82.557,82.73,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cote d'Ivoire,CIV,57.854,58.32,58.741,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Croatia,HRV,81.3,80.9,81.4,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cuba,CUB,80.587,80.643,80.706,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Curacao,CUW,81.1,81.5,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Cyprus,CYP,82.671,82.794,82.913,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Czech Republic,CZE,82.1,82,82,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Denmark,DNK,82.8,83.1,82.9,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Djibouti,DJI,67.109,68.023,68.778,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Dominica,DMA,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Dominican Republic,DOM,76.765,76.99,77.196,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ecuador,ECU,79.233,79.442,79.645,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Egypt, Arab Rep.",EGY,73.766,73.967,74.162,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,El Salvador,SLV,77.188,77.417,77.635,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Equatorial Guinea,GNQ,58.932,59.259,59.587,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Eritrea,ERI,67.303,67.745,68.162,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Estonia,EST,82.2,82.6,82.7,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Eswatini,SWZ,61.214,62.753,63.968,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ethiopia,ETH,67.378,67.784,68.165,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Faroe Islands,FRO,84.3,84.5,84.7,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Fiji,FJI,68.925,69.043,69.178,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Finland,FIN,84.4,84.5,84.5,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,France,FRA,85.8,85.7,85.9,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,French Polynesia,PYF,79.339,79.539,79.725,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Gabon,GAB,67.346,67.883,68.323,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,"Gambia, The",GMB,62.548,62.84,63.151,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Georgia,GEO,77.621,77.816,77.989,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Germany,DEU,83.5,83.4,83.3,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Ghana,GHA,64.13,64.503,64.852,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Gibraltar,GIB,..,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Greece,GRC,84,83.9,84.4,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Greenland,GRL,73,..,..,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Grenada,GRD,74.973,74.949,74.941,..,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Guam,GUM,82.894,83.146,83.365,..,..
